node_id;cores
UCX1hQJdQcIDMfd8SDzPdY-Q;[0]
UC0oLxL8yFsI6KyXdDgnJi4g;[0]
UCv3xl_lEpwUbNcqZKC9ZNxA;[]
UCmZSQ9LSi0UW4QQolvmmLpg;[]
UCUE1JFzfY6RDK5OsxdY9jhQ;[]
UCRokSp8CGOuQO4R0F1RxRGg;[]
UCDBgSA_DZ0NNMtf2_C0zQXA;[0]
UC7zVsE8WEtJashW3TeKlEMQ;[]
UCY_q9S5SOsIRZNUVrmHB1JQ;[0]
UCr-EbkzPFYCE9ZiNcztmqww;[0]
UC2aSu7cxkw2-icfSrG0p1jg;[]
UC_AK59IS8_tGa-FbzSFnM_Q;[0]
UClsIqIedI26vvLVq6MRIboQ;[]
UC1_d5VapyDUBRtNaMe_4C_Q;[]
UCF0W2iDbr9zfyICsm54WVhA;[]
UCRh-jj6pVXDoqlRlaMvrxjA;[]
UCN8NAFrJENowmi2f79gvCjA;[0]
UCfk5TWkravewW63lM23bvmQ;[]
UCckEcZx3c05eujCTbSDP2Ow;[]
UCeXaFztFRN8WzEwO3RQ9miA;[]
